StatisticsDate,negativeTests,confirmedCases,testsPerDay,cumulativeNegative,cumulativePositive,testsPerformed,lastFeature,County,positiveTestsPerc,positiveTestsPercCum
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,,Tartu maakond,,
2020-02-26,1.0,0.0,1.0,1.0,0.0,1.0,,Tartu maakond,0.0,0.0
2020-02-27,0.0,0.0,0.0,1.0,0.0,1.0,,Tartu maakond,,0.0
2020-02-28,1.0,0.0,1.0,2.0,0.0,2.0,,Tartu maakond,0.0,0.0
2020-02-29,0.0,0.0,0.0,2.0,0.0,2.0,,Tartu maakond,,0.0
2020-03-01,0.0,0.0,0.0,2.0,0.0,2.0,,Tartu maakond,,0.0
2020-03-02,0.0,1.0,1.0,2.0,1.0,3.0,,Tartu maakond,1.0,0.3333
2020-03-03,0.0,0.0,0.0,2.0,1.0,3.0,,Tartu maakond,,0.3333
2020-03-04,1.0,0.0,1.0,3.0,1.0,4.0,,Tartu maakond,0.0,0.25
2020-03-05,0.0,0.0,0.0,3.0,1.0,4.0,,Tartu maakond,,0.25
2020-03-06,0.0,0.0,0.0,3.0,1.0,4.0,,Tartu maakond,,0.25
2020-03-07,0.0,0.0,0.0,3.0,1.0,4.0,,Tartu maakond,,0.25
2020-03-08,1.0,0.0,1.0,4.0,1.0,5.0,,Tartu maakond,0.0,0.2
2020-03-09,1.0,0.0,1.0,5.0,1.0,6.0,,Tartu maakond,0.0,0.1667
2020-03-10,4.0,0.0,4.0,9.0,1.0,10.0,,Tartu maakond,0.0,0.1
2020-03-11,8.0,0.0,8.0,17.0,1.0,18.0,,Tartu maakond,0.0,0.0556
2020-03-12,4.0,1.0,5.0,21.0,2.0,23.0,,Tartu maakond,0.2,0.087
2020-03-13,8.0,4.0,12.0,29.0,6.0,35.0,,Tartu maakond,0.3333,0.1714
2020-03-14,10.0,0.0,10.0,39.0,6.0,45.0,,Tartu maakond,0.0,0.1333
2020-03-15,19.0,6.0,25.0,58.0,12.0,70.0,,Tartu maakond,0.24,0.1714
2020-03-16,21.0,1.0,22.0,79.0,13.0,92.0,,Tartu maakond,0.0455,0.1413
2020-03-17,5.0,0.0,5.0,84.0,13.0,97.0,,Tartu maakond,0.0,0.134
2020-03-18,53.0,1.0,54.0,137.0,14.0,151.0,,Tartu maakond,0.0185,0.0927
2020-03-19,31.0,4.0,35.0,168.0,18.0,186.0,,Tartu maakond,0.1143,0.0968
2020-03-20,17.0,3.0,20.0,185.0,21.0,206.0,,Tartu maakond,0.15,0.1019
2020-03-21,47.0,1.0,48.0,232.0,22.0,254.0,,Tartu maakond,0.0208,0.0866
2020-03-22,37.0,1.0,38.0,269.0,23.0,292.0,,Tartu maakond,0.0263,0.0788
2020-03-23,46.0,6.0,52.0,315.0,29.0,344.0,,Tartu maakond,0.1154,0.0843
2020-03-24,140.0,8.0,148.0,455.0,37.0,492.0,,Tartu maakond,0.0541,0.0752
2020-03-25,166.0,6.0,172.0,621.0,43.0,664.0,,Tartu maakond,0.0349,0.0648
2020-03-26,83.0,0.0,83.0,704.0,43.0,747.0,,Tartu maakond,0.0,0.0576
2020-03-27,154.0,0.0,154.0,858.0,43.0,901.0,,Tartu maakond,0.0,0.0477
2020-03-28,68.0,2.0,70.0,926.0,45.0,971.0,,Tartu maakond,0.0286,0.0463
2020-03-29,48.0,1.0,49.0,974.0,46.0,1020.0,,Tartu maakond,0.0204,0.0451
2020-03-30,62.0,2.0,64.0,1036.0,48.0,1084.0,,Tartu maakond,0.0312,0.0443
2020-03-31,158.0,1.0,159.0,1194.0,49.0,1243.0,,Tartu maakond,0.0063,0.0394
2020-04-01,30.0,0.0,30.0,1224.0,49.0,1273.0,,Tartu maakond,0.0,0.0385
2020-04-02,195.0,8.0,203.0,1419.0,57.0,1476.0,,Tartu maakond,0.0394,0.0386
2020-04-03,103.0,3.0,106.0,1522.0,60.0,1582.0,,Tartu maakond,0.0283,0.0379
2020-04-04,127.0,2.0,129.0,1649.0,62.0,1711.0,,Tartu maakond,0.0155,0.0362
2020-04-05,71.0,0.0,71.0,1720.0,62.0,1782.0,,Tartu maakond,0.0,0.0348
2020-04-06,158.0,1.0,159.0,1878.0,63.0,1941.0,,Tartu maakond,0.0063,0.0325
2020-04-07,110.0,6.0,116.0,1988.0,69.0,2057.0,,Tartu maakond,0.0517,0.0335
2020-04-08,144.0,0.0,144.0,2132.0,69.0,2201.0,,Tartu maakond,0.0,0.0313
2020-04-09,158.0,11.0,169.0,2290.0,80.0,2370.0,,Tartu maakond,0.0651,0.0338
2020-04-10,104.0,0.0,104.0,2394.0,80.0,2474.0,,Tartu maakond,0.0,0.0323
2020-04-11,200.0,1.0,201.0,2594.0,81.0,2675.0,,Tartu maakond,0.005,0.0303
2020-04-12,39.0,2.0,41.0,2633.0,83.0,2716.0,,Tartu maakond,0.0488,0.0306
2020-04-13,109.0,2.0,111.0,2742.0,85.0,2827.0,,Tartu maakond,0.018,0.0301
